Datum,Meldung
2015-07-10,CFP: The Journal of American Studies: Eurasian Perspectives (20.09.15)
2015-07-10,CFP: TV-Serie und Literatur. Mosaik einer komplexen Beziehung (01.09.15)
2015-07-10,"Stellenausschreibung: Lehrkräfte für E-Learning an der Hochschule für Medien, Kommunikation und Wirtschaft"
2015-07-10,Stellenausschreibung: Vanier Canada Graduate Scholarship for PhD Candidates
2015-07-10,"Veranstaltung: Material Practices of Literature (Berlin, 17.-22.07.15)"
2015-07-10,GfM: Programm der GfM-Jahrestagung in Bayreuth online
2015-07-17,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in an der Universität Oldenburg
2015-07-17,Stellenausschreibung: Assistant Professor at the University of Alberta
2015-07-17,Stellenausschreibung: Wissenschaftliche Hilfskraft am Institut für Medienwissenschaft der Philipps-Universität Marburg
2015-07-17,"Veranstaltung: Müll - Perspektiven des Übrigen (Weimar, 24.-25.09.2015)"
2015-07-17,"CFP: RaAM 11: Metaphor in the Arts, in Media and Communication (Berlin, 01.-04.07.16 // 15.12.15)"
2015-07-24,Stellenausschreibung: Akademische/r Mitarbeiter/in an der TU Cottbus
2015-07-24,CFP: Small data (01.09.15)
2015-07-24,"CFP: Von der Idee zum Medium. Resonanzfelder zwischen Aufklärung und Gegenwart (Bamberg, 15.-18.09.16 // 31.12.15)"
2015-07-24,GfM: Eric Buhse verlässt Geschäftsstelle der Gesellschaft für Medienwissenschaft / Bernhard Runzheimer neuer Vorstandsassistent
2015-07-24,Stellenausschreibung: Drei Promotionsstipendien und ein Post-Doc-Stipendium am Brandenburgischen Zentrum für Medienwissenschaften Potsdam
2015-08-21,"Stellenausschreibung: Universitätsassistent/in (""post doc"") am Institut für Theater-, Film- und Medienwissenschaft"
2015-08-21,Stellenausschreibung: Assistant Professor - Italian Cinema
2015-08-21,Stellenausschreibung: Post-Doctoral Researcher in Brazilian Cinema
2015-08-21,Stellenausschreibung: Post-Doctoral Researcher in Film
2015-09-04,Stellenausschreibung: Assistant Professor (Cinema and Digital Media)
2015-09-04,CfP: Rabbit Eye 009: Billy Wilder
2015-09-04,CfP: Visualität und Abstraktion  Über die Effekte von Abstraktionen im Feld des Sichtbaren
2015-09-04,Veranstaltung: Lehre 2.0: Medienwissenschaftliche Praxis im Wandel
2015-09-04,Stellenausschreibung: Open-Rank Professor (American Film/Media History)
2015-09-11,CfP: Thinking Machines in the Physical World
2015-09-11,Veranstaltung: Challenging Methods  1. Lüneburg Summer School for Digital Cultures
2015-09-11,Veranstaltung: Hamburg  Film im Underground
2015-09-11,Veranstaltung: Menschen im Hotel. Filmische Begegnungen in begrenzten Räumen
2015-09-11,CfP: Documentary and Cognitive Theory
2015-09-11,CfP: Kino und Kindheit
2015-09-11,"Stellenausschreibung: Universitätsprofessur (W 2) für Medien, Algorithmen und Gesellschaft"
2015-09-11,"Forschungsprojekt: Extremismus in sozialen Medien: Wahrnehmung, Hinwendung und Thematisierung durch Heranwachsende"
2015-09-11,"Stellenausschreibung: Doctoral Candidate, Digital Archives and Open Culture"
2015-09-11,Stellenausschreibung: Professor (W3) of Science Communication in Digital Media
2015-09-11,Stellenausschreibung: Assistant Professor in Media Studies
2015-09-11,Stellenausschreibung: Tenure-Track Assistant Professorship in Media and Culture at Stanford
2015-09-11,Stellenausschreibung: Universitätsprofessur für Visuelle Kultur am Institut für Medien- und Kommunikationswissenschaft
2015-09-11,Veranstaltung: Sense of Doubt. Wider das Vergessen
2015-09-11,Stellenausschreibung: 12 Promotionsstipendien im Bereich Digital Media
2015-09-11,Veranstaltung: BreMM15: Second International Symposium on the Theory and Practice of Multimodal Research
2015-09-11,Stellenausschreibung: Professur Digitale und vernetzte Medien in der Sozialen Arbeit (W 2)
2015-09-18,CfP: 8. Jahrestagung der AG Populärkultur und Medien in der Gesellschaft für Medienwissenschaft (GfM) | Popkongress 2016
2015-09-18,Stellenausschreibung: Professur Kultur- und Mediensoziologie (W2)
2015-09-18,"CfP: A hundred years of Film theory. Münsterberg and beyond: Concepts, Applications, Perspectives"
2015-09-18,Veranstaltung: Casablanca und Tanger  Transkulturelle mythische Räume in Literatur und Film
2015-09-18,Veranstaltung: Drilling through the Screen: Modern Imaginaries and the Oil Industry (Ergänzung)
2015-09-18,GfM: Tagungsprogramm ist online
2015-09-18,CfP: Playing with Worlds | Worlds of Play
2015-09-25,"Veranstaltung: Verflechtungen II: Medien, Bildung und Wissen in der Hochschule"
2015-09-25,Veranstaltung: Ringvorlesung MEDIEN ZEIGEN. Wie? Mit wem? Wohin?
2015-09-25,Veranstaltung: Workshop Decision Devices. Genealogies of Managerial Media
2015-09-25,CfP: POPULÄRKULTUR  GESCHLECHT  HANDLUNGSRÄUME / POPULAR CULTURE  GENDER  AGENCY
2015-09-25,CfP: On/Off in medialer Figuration
2015-09-25,CfP: Medienwissenschaftliche Lehre an der Universität Wien // 15.10.2015
2015-09-25,CfP: Machine Communication
2015-09-25,Stellenausschreibung: Professor Of Critical Media Practices
2015-09-25,Stellenausschreibung: Assistant Professor Of Critical Media Practices
2015-09-25,Stellenausschreibung: Assistant Professor in Television Studies  Boston University
2015-09-25,Stellenausschreibung: Universitätsprofessur für Visuelle Kultur
2015-09-25,Stellenausschreibung: Two doctoral posts in cultural and social studies (media research)
2015-09-25,Stellenausschreibung: Wissenschaftliche/n Mitarbeiter/in (Postdoc)-research associate at postdoctoral level
2015-09-25,Stellenausschreibung: Scholar (Film and Media Studies)
2015-09-25,"Stellenausschreibung: DoktorandIn, SNF-Forschungsprojekt Nachbilder von Revolution und Krieg. Trauma- und Memoryscapes im postrevolutionären iranischen Kino"
2015-09-25,Stellenausschreibung: Professorin/Professor (Bes. Gr. W2) für das Lehrgebiet digitale und netzbasierte Kunst im Beamtenverhältnis auf Zeit (6 Jahre)
2015-09-25,Stellenausschreibung: Assistant/Associate/Full Professor
2015-10-09,Stellenausschreibung: Dick Wolf Director of the Carsey-Wolf Center and Presidential Chair in Media Studies
2015-10-09,Stellenausschreibung: Assistant Professor in Digital Critical Studies
